Wavelength,NC1,NC2,NC3,SF1,SF2,SF3,SN1,SN2,SN3
Group,NC,NC,NC,SF,SF,SF,SN,SN,SN
814.364119,67.021371,80.34936,74.913807,97.296773,97.841597,97.407428,87.815153,89.266616,93.368559
815.800387,66.893582,80.272329,74.81367,97.308598,97.850058,97.417797,87.911876,89.363021,93.388117
817.236656,66.75171,80.183505,74.698797,97.31745,97.861067,97.425631,87.992328,89.448473,93.395505
818.672924,66.587436,80.083752,74.566427,97.326337,97.869783,97.429183,88.064705,89.528371,93.394601
820.109192,66.397781,79.972709,74.417845,97.326648,97.874291,97.42801,88.123243,89.590209,93.391459
821.545461,66.185073,79.855858,74.245787,97.310652,97.870299,97.427095,88.175848,89.646461,93.389131
822.981729,65.922697,79.719294,74.030871,97.30256,97.859575,97.423964,88.211333,89.695996,93.385071
824.417997,65.626954,79.560125,73.788429,97.302009,97.852241,97.416269,88.231498,89.734987,93.378882
825.854265,65.284315,79.384443,73.515087,97.294803,97.84933,97.409413,88.236688,89.763379,93.373365
827.290534,64.903313,79.203983,73.218856,97.299112,97.846355,97.406428,88.240964,89.801213,93.376387
828.726802,64.484968,79.007956,72.893127,97.316275,97.84221,97.404625,88.238057,89.834953,93.382565
830.16307,64.027487,78.786888,72.525492,97.329709,97.836889,97.40399,88.248067,89.880611,93.386186
831.599339,63.526248,78.538679,72.125926,97.34301,97.83276,97.40548,88.269756,89.933159,93.388803
833.035607,63.001036,78.26461,71.711085,97.361428,97.831919,97.406237,88.315373,89.991545,93.40104
834.471875,62.425844,77.939439,71.257802,97.382046,97.831538,97.40662,88.386842,90.059697,93.424103
835.908143,61.779077,77.526805,70.746907,97.401783,97.83118,97.410412,88.48038,90.143896,93.449457
837.344412,60.94851,76.947912,70.08507,97.421099,97.831964,97.413208,88.578926,90.234572,93.469163
838.78068,59.790879,76.133348,69.160765,97.436627,97.832074,97.413032,88.682699,90.339416,93.485534
840.216948,58.236536,75.084758,67.943943,97.440751,97.827996,97.412235,88.767205,90.439407,93.489463
841.653217,56.409964,73.924071,66.548721,97.442936,97.817778,97.408977,88.835328,90.543303,93.471242
843.089485,54.57859,72.852961,65.20503,97.447378,97.807141,97.401144,88.884215,90.637212,93.435809
844.525753,53.07498,72.068366,64.171015,97.440426,97.798152,97.387363,88.92379,90.710042,93.400263
845.962021,52.14983,71.692088,63.629958,97.431795,97.783777,97.37351,88.953543,90.769129,93.370454
847.39829,51.96446,71.793951,63.690494,97.433257,97.777798,97.369139,88.98016,90.819982,93.350147
848.834558,52.542661,72.373564,64.337655,97.432314,97.791671,97.369483,89.00755,90.846135,93.344711
850.270826,53.850028,73.383723,65.523173,97.427735,97.804091,97.375309,89.054217,90.869862,93.357338
851.707095,55.7812,74.744056,67.174713,97.424817,97.813211,97.390638,89.109268,90.884704,93.385253
853.143363,58.175667,76.333965,69.143772,97.422961,97.833013,97.406164,89.184721,90.898491,93.432819
854.579631,60.806086,77.98676,71.237643,97.430112,97.848654,97.427051,89.276675,90.920862,93.496451
856.015899,63.409026,79.526162,73.249857,97.44717,97.862076,97.460418,89.378425,90.95524,93.568303
857.452168,65.642732,80.766233,74.914302,97.464097,97.88747,97.492362,89.478165,91.000103,93.641065
858.888436,67.263221,81.600659,76.064878,97.478902,97.910521,97.52038,89.574162,91.065451,93.707307
860.324704,68.215735,82.03952,76.693392,97.496818,97.928605,97.543923,89.654615,91.137304,93.75632
861.760973,68.64986,82.196506,76.926277,97.51959,97.947078,97.555113,89.731835,91.222808,93.789656
863.197241,68.775362,82.208576,76.943353,97.54017,97.953213,97.557185,89.805999,91.310608,93.817582
864.633509,68.771405,82.161012,76.879187,97.553643,97.948158,97.552869,89.885225,91.397811,93.849366
866.069778,68.719535,82.08526,76.794074,97.562973,97.942173,97.550048,89.953957,91.478366,93.875027
867.506046,68.659768,82.010115,76.714782,97.566476,97.939517,97.555732,90.018338,91.553768,93.888252
868.942314,68.588898,81.933633,76.621861,97.563896,97.937018,97.553987,90.085524,91.621041,93.897399
870.378582,68.518052,81.854942,76.532198,97.563161,97.923581,97.544276,90.147328,91.685965,93.907823
871.814851,68.435892,81.78272,76.45481,97.564531,97.907931,97.540181,90.190696,91.740284,93.912489
873.251119,68.352261,81.715939,76.373606,97.560249,97.902028,97.537503,90.238861,91.795715,93.91134
874.687387,68.269301,81.6466,76.288568,97.551592,97.897138,97.535391,90.28787,91.847957,93.905049
876.123656,68.19103,81.581489,76.210289,97.548058,97.898743,97.534799,90.345584,91.904355,93.898218
877.559924,68.104359,81.519467,76.133445,97.549939,97.908341,97.529823,90.413955,91.962808,93.889575
878.996192,68.023012,81.468902,76.070157,97.549521,97.911709,97.523075,90.492699,92.025131,93.876779
880.43246,67.943675,81.41901,76.003079,97.550466,97.915035,97.512703,90.575302,92.091751,93.867798
881.868729,67.873267,81.360506,75.932834,97.56128,97.921829,97.499095,90.664854,92.167154,93.869902
883.304997,67.803411,81.307108,75.868632,97.576329,97.925356,97.491168,90.752112,92.239913,93.86978
884.741265,67.738871,81.267333,75.80561,97.584106,97.931481,97.48757,90.83857,92.310533,93.860288
886.177534,67.663709,81.224735,75.738287,97.584642,97.936124,97.483991,90.910724,92.362732,93.843345
887.613802,67.585805,81.181359,75.670061,97.586975,97.930832,97.479629,90.97789,92.40854,93.823341
889.05007,67.510702,81.135785,75.595407,97.592836,97.918461,97.472291,91.031938,92.451415,93.804275
